,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
0,-0.6369,Wed May 18 13:45:19 +0000 2016,0.819,0.181,0.0,1,,
1,0.3612,Sun Jan 07 19:00:05 +0000 2018,0.898,0.0,0.102,2,@BBC,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp"
2,0.0,Sun Jan 07 18:32:03 +0000 2018,1.0,0.0,0.0,2,@BBC,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. ? 

Attenborough an… https://t.co/xWsAFgCQu8"
3,0.6369,Sun Jan 07 17:59:05 +0000 2018,0.682,0.0,0.318,2,@BBC,Budget Italian feasts the whole family will love. ? https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6
4,0.4215,Sun Jan 07 17:19:01 +0000 2018,0.797,0.0,0.203,2,@BBC,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv"
5,0.128,Sun Jan 07 16:53:27 +0000 2018,0.359,0.308,0.333,2,@BBC,"The best, worst and weirdest #FACup fan fashion. ??? https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ"
6,-0.0258,Sun Jan 07 16:34:03 +0000 2018,0.695,0.155,0.15,2,@BBC,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. ? https://t.co/xS6vJ68vX8
7,0.5859,Sun Jan 07 16:31:59 +0000 2018,0.612,0.0,0.388,2,@BBC,RT @BBCWorld: A beauty contest with a difference ? https://t.co/ardDeFBwO5
8,0.6369,Sun Jan 07 16:31:55 +0000 2018,0.769,0.0,0.231,2,@BBC,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz
9,0.0,Sun Jan 07 16:31:45 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century ? https://t.co/eToUiRbB0Z
10,0.4019,Sun Jan 07 16:31:39 +0000 2018,0.828,0.0,0.172,2,@BBC,RT @bbccomedy: When your wife is definitely not your wife... ?? #WouldILieToYou @joelycett https://t.co/Rr268sR8p6
11,0.0,Sun Jan 07 16:30:09 +0000 2018,1.0,0.0,0.0,2,@BBC,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq"
12,0.0,Sun Jan 07 16:27:07 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…"
13,0.0,Sun Jan 07 16:25:04 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. ?? #QI https://t.co/Fm1FX4WzTQ
14,0.0,Sun Jan 07 16:19:01 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @BBCOne: ? INCOMING. 
#McMafia continues tonight at 9pm, @BBCOne. Don’t be late. https://t.co/z1JBKX7RAl"
15,-0.0772,Sun Jan 07 16:18:25 +0000 2018,0.925,0.075,0.0,2,@BBC,RT @bbcworldservice: Could one of the toughest cycling races bring unity to Colombia? More here: https://t.co/mFL1O9spkM https://t.co/jnwDG…
16,0.4019,Sun Jan 07 16:00:07 +0000 2018,0.856,0.0,0.144,2,@BBC,"Burnt out? Here are 8 locations to help you get way, way away from it all. ? https://t.co/qINvxQrMPA https://t.co/CsANInn8PN"
17,-0.3182,Sun Jan 07 15:30:05 +0000 2018,0.758,0.152,0.09,2,@BBC,"Are you prepared for the collapse of society? ?
Here’s the knowledge you’d need to reboot civilisation. ?… https://t.co/RQTUOyeMQC"
18,0.0,Sun Jan 07 15:01:01 +0000 2018,1.0,0.0,0.0,2,@BBC,"Take a peek #InsideTheFactory to see how a fish finger is made. ???
https://t.co/FejNIi4sHz"
19,0.6597,Sun Jan 07 14:30:02 +0000 2018,0.769,0.0,0.231,2,@BBC,This fisherman in Cornwall is helping to save cetaceans by using modern technology to aid his fishing practices. ?? https://t.co/rLNKLQxfWf
20,0.0,Sun Jan 07 14:00:04 +0000 2018,1.0,0.0,0.0,2,@BBC,"The year is 2018.
Music is changing fast, but can the humans keep up?
Here's a handful of possible outcomes. ?… https://t.co/pqYeLWwHNz"
21,0.6369,Sun Jan 07 13:33:06 +0000 2018,0.781,0.0,0.219,2,@BBC,Take a look at some of the best photographs of the UK from last year. ? https://t.co/why5ck9xKk https://t.co/XJfduxho1z
22,-0.1531,Sun Jan 07 13:10:30 +0000 2018,0.89,0.11,0.0,2,@BBC,"RT @BBCRadio4: ‘I exaggerate for comic effect’ 
@charltonbrooker on his on-screen persona. 
#desertislanddiscs 
https://t.co/tdfpZEd4cj"
23,0.5267,Sun Jan 07 13:00:04 +0000 2018,0.841,0.0,0.159,2,@BBC,"Is this the new age of the train? 

? @BBC_Culture explores the brave new world of futuristic rail travel.… https://t.co/x6UBsXe6Eq"
24,-0.5423,Sun Jan 07 12:33:59 +0000 2018,0.763,0.189,0.048,2,@BBC,"RT @BBCOne: A mysterious figure reaches out to Alex, who is finding it increasingly difficult to say no. #McMafia. Tonight, 9pm. @BBCOne. h…"
25,-0.5204,Sun Jan 07 12:30:05 +0000 2018,0.708,0.227,0.065,2,@BBC,"If you have anxiety, you’re not alone. Over 8m people in the UK have an anxiety disorder of some sort. 
Here's some… https://t.co/rg917TPUKP"
26,-0.4588,Sun Jan 07 11:36:25 +0000 2018,0.727,0.273,0.0,2,@BBC,RT @BBCScotland: The abandoned island reclaimed by seabirds ? https://t.co/YRAVnFn8xA
27,0.0,Sun Jan 07 11:35:58 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @bbcthree: Don't be this guy. https://t.co/8T8QJrBOjY
28,0.0,Sun Jan 07 11:33:57 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @bbcgetinspired: ? SPLASH!

When you're learning to paddleboard there's only one way it's going to end... ? #GetInspired https://t.co/Zl…"
29,0.4588,Sun Jan 07 11:33:02 +0000 2018,0.75,0.0,0.25,2,@BBC,RT @BBCRadio4: 15 podcasts guaranteed to make you smarter. https://t.co/BRm87q7mus
30,0.0,Sun Jan 07 11:29:58 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @BBCiPlayer: ?? ""The complete #HardSun dossier WILL BE RELEASED."" https://t.co/7AEUPT9M0n https://t.co/tl50rimCos"
31,0.1531,Sun Jan 07 11:05:24 +0000 2018,0.897,0.0,0.103,2,@BBC,"RT @bbcthree: Here are solid comebacks for when people say ""non-binary people don't exist."" https://t.co/aQuQwutySF"
32,-0.5994,Sun Jan 07 11:01:46 +0000 2018,0.562,0.438,0.0,2,@BBC,RT @BBCWorld: Death by selfie https://t.co/nr2lwSnMGr
33,0.0,Sun Jan 07 11:00:06 +0000 2018,1.0,0.0,0.0,2,@BBC,"What's the fattest animal on earth? ???

A whale, bear, supersized walrus or something altogether unexpected?… https://t.co/ETzGPKP3Eh"
34,0.0,Sun Jan 07 10:53:54 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @BBCNews: Royal Wedding: Late pub opening hours for Harry and Meghan https://t.co/7w6kcOjyxl
35,0.5719,Sun Jan 07 10:49:25 +0000 2018,0.821,0.0,0.179,2,@BBC,RT @BBCFood: Going low-cal but having cravings? Enter the easiest ever chicken traybake. ? Full recipe here - https://t.co/KXMxTDDtgx https…
36,0.0,Sun Jan 07 10:49:13 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @BBCNewsround: In for a penny, in for a pound! Check out these new coin designs from the Royal Mint https://t.co/5hfRexBLyU https://t.co…"
37,0.0,Sun Jan 07 10:00:04 +0000 2018,1.0,0.0,0.0,2,@BBC,?? Prepare to be mesmerised by the sounds of Scotland. https://t.co/d32eggwm1U
38,-0.4215,Sun Jan 07 09:32:03 +0000 2018,0.851,0.149,0.0,2,@BBC,"Women unhappy with their breast size are less likely to carry out regular self-examinations, study suggests.… https://t.co/41b81fLY8p"
39,0.0,Sun Jan 07 09:00:14 +0000 2018,1.0,0.0,0.0,2,@BBC,The people of the whale. ?? https://t.co/TH7SUcw5JJ https://t.co/8ivwbmnhms
40,-0.4588,Sun Jan 07 08:30:05 +0000 2018,0.636,0.364,0.0,2,@BBC,'I fought anxiety and started teaching happiness.' https://t.co/K2TXy36b77 https://t.co/M4xJDR4rkd
41,-0.4939,Sun Jan 07 08:00:04 +0000 2018,0.802,0.198,0.0,2,@BBC,??? When ball boys steal the limelight and hit the big time. https://t.co/Rl0vUHaZZK https://t.co/Uc02sIM0gK
42,0.0,Sat Jan 06 23:57:10 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe"
43,0.5859,Sat Jan 06 23:56:58 +0000 2018,0.743,0.0,0.257,2,@BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw
44,-0.4939,Sat Jan 06 23:56:09 +0000 2018,0.862,0.138,0.0,2,@BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…"
45,0.0,Sat Jan 06 23:55:08 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @BBCMOTD: ? Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… ?

#FACup third round day always throws up some stories - today…"
46,0.0,Sat Jan 06 19:33:03 +0000 2018,1.0,0.0,0.0,2,@BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ"
47,0.3612,Sat Jan 06 19:01:04 +0000 2018,0.872,0.0,0.128,2,@BBC,??? @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy
48,0.5859,Sat Jan 06 18:32:03 +0000 2018,0.808,0.0,0.192,2,@BBC,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. ?? 

Hugh's Wild West… https://t.co/GvNEA0JNz7"
49,0.4118,Sat Jan 06 17:59:01 +0000 2018,0.828,0.0,0.172,2,@BBC,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD"
50,0.3612,Sat Jan 06 17:30:07 +0000 2018,0.889,0.0,0.111,2,@BBC,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ? https://t.co/YIgVe77Zey"
51,0.0,Sat Jan 06 17:00:09 +0000 2018,1.0,0.0,0.0,2,@BBC,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC"
52,0.0,Sat Jan 06 16:45:03 +0000 2018,1.0,0.0,0.0,2,@BBC,"Todogganing ??
https://t.co/EFO7JRP77K"
53,-0.7269,Sat Jan 06 16:30:04 +0000 2018,0.681,0.319,0.0,2,@BBC,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. ? https://t.co/TOVvhUN3cv
54,-0.2006,Sat Jan 06 16:18:16 +0000 2018,0.637,0.225,0.137,2,@BBC,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... ? https://t.co/E8R4OXVHcv
55,-0.6486,Sat Jan 06 16:03:04 +0000 2018,0.531,0.338,0.13,2,@BBC,Scientists are using a common virus used to help fight incurable brain cancer. ? https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi
56,0.4588,Sat Jan 06 15:33:03 +0000 2018,0.773,0.062,0.165,2,@BBC,???  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv
57,0.0,Sat Jan 06 15:21:56 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @bbcworldservice: Why we can't resist puppy dog eyes. ? ? https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ
58,-0.7901,Sat Jan 06 15:00:10 +0000 2018,0.611,0.389,0.0,2,@BBC,Battle stations people! We may be heading for a chocolate crisis. ?? https://t.co/n1Hefd02KG https://t.co/fXS6mvx088
59,0.3612,Sat Jan 06 14:00:04 +0000 2018,0.737,0.0,0.263,2,@BBC,"What a polar bear cub sounds like. ???
https://t.co/c8lWvBlo6U"
60,0.6369,Sat Jan 06 13:00:08 +0000 2018,0.721,0.0,0.279,2,@BBC,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. ? https://t.co/1TG8z9n1wf
61,-0.6597,Sat Jan 06 12:00:06 +0000 2018,0.812,0.188,0.0,2,@BBC,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5
62,0.0,Sat Jan 06 11:41:46 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @bbcrb: ?? Did you know there's a whole Victorian street buried in Bristol? 
Come explore it with us! https://t.co/0juiW9gsoG"
